,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Mahebourg,MU,-20.41,57.7,78.8,69,75,10.29,broken clouds
124,Vardo,NO,70.37,31.11,50.0,76,0,8.05,clear sky
125,Camana,PE,-16.62,-72.71,65.19,68,56,11.72,broken clouds
126,Nome,US,64.5,-165.41,42.8,81,90,8.05,light rain
127,Evensk,RU,61.95,159.23,35.47,87,100,1.88,overcast clouds
128,Uinskoye,RU,56.88,56.58,40.59,68,0,4.43,clear sky
129,Gigmoto,PH,13.78,124.39,81.28,77,5,3.04,clear sky
130,Torgau,DE,51.57,13.0,66.0,51,75,8.05,broken clouds
131,Padang,ID,-0.95,100.35,79.32,78,100,2.48,overcast clouds
132,Eureka,US,40.8,-124.16,55.0,97,80,1.99,broken clouds
133,Marquette,US,46.53,-87.63,43.0,72,98,1.01,overcast clouds
134,Pringsewu,ID,-5.36,104.97,75.76,90,91,4.65,overcast clouds
135,Terre-De-Bas,GP,15.85,-61.64,84.2,79,100,8.05,overcast clouds
136,Guarapari,BR,-20.67,-40.5,82.0,83,75,16.11,broken clouds
137,Doka,SD,13.52,35.77,84.4,62,99,5.93,light rain
138,Lagoa,PT,39.05,-27.98,70.38,83,95,12.35,overcast clouds
139,Pizarro,CO,4.95,-77.37,75.2,91,100,5.39,moderate rain
140,Yendi,GH,9.44,-0.01,87.24,70,31,1.83,moderate rain
141,Yar-Sale,RU,66.83,70.83,35.1,87,100,17.29,overcast clouds
142,Maneromango,TZ,-7.2,38.78,87.8,55,40,17.22,scattered clouds
143,Karasburg,NA,-28.02,18.75,86.52,10,0,7.09,clear sky
144,Burnie,AU,-41.07,145.92,55.0,82,100,17.0,light rain
145,Tiksi,RU,71.69,128.87,23.43,95,100,20.0,overcast clouds
146,Leh,IN,34.17,77.58,49.93,30,0,7.23,clear sky
147,Kodiak,US,57.79,-152.41,48.2,87,90,20.8,light rain
148,Usinsk,RU,65.99,57.53,36.27,82,77,9.62,broken clouds
149,Lebu,CL,-37.62,-73.65,49.12,72,0,2.37,clear sky
150,Chuy,UY,-33.7,-53.46,58.89,63,6,16.31,clear sky
151,Lugovoy,KZ,42.95,72.76,59.43,33,13,3.87,few clouds
152,Avarua,CK,-21.21,-159.78,73.4,83,100,8.05,light rain
153,Bafia,CM,4.75,11.23,85.96,65,16,1.52,light rain
154,Cotonou,BJ,6.37,2.42,84.2,74,40,11.41,scattered clouds
155,Kruisfontein,ZA,-34.0,24.73,68.88,69,7,13.62,clear sky
156,Chimbote,PE,-9.09,-78.58,62.87,82,64,5.14,broken clouds
157,Torbay,CA,47.67,-52.73,52.0,87,90,10.29,overcast clouds
158,Yeppoon,AU,-23.13,150.73,69.8,73,75,6.93,broken clouds
159,Nago,JP,26.59,127.98,78.8,88,1,3.36,clear sky
160,Volkhov,RU,59.93,32.34,55.99,24,100,10.16,overcast clouds
